number,description,type,group,unit,cost,price,onPallet
63,Island Oasis - Raspberry,jcb,GMC,application/vnd.ms-excel,771,634.02,35
32,Island Oasis - Pina Colada,diners-club-enroute,Mercedes-Benz,audio/mpeg3,873,794.64,62
63,Bread Country Roll,jcb,Plymouth,video/x-mpeg,103,341.94,59
71,Sprite - 355 Ml,bankcard,Mazda,application/vnd.ms-excel,974,298.55,99
41,Napkin White,jcb,Infiniti,image/tiff,605,249.32,88
75,Ecolab - Solid Fusion,bankcard,Chevrolet,application/vnd.ms-powerpoint,742,315.41,29
23,Dawn Professionl Pot And Pan,mastercard,Chevrolet,application/msword,665,485.74,14
85,Grenadillo,jcb,Porsche,application/pdf,571,421.89,1
69,Aspic - Clear,jcb,Cadillac,application/vnd.ms-powerpoint,277,132.85,52
13,Dip - Tapenade,maestro,Pontiac,video/mpeg,745,821.67,82
70,Flax Seed,mastercard,Mitsubishi,video/mpeg,815,786.43,81
71,Longos - Grilled Salmon With Bbq,china-unionpay,Chevrolet,application/mspowerpoint,645,282.92,26
33,Radish - Pickled,jcb,Daewoo,application/mspowerpoint,377,105.33,99
91,Wine - Barolo Fontanafredda,instapayment,Pontiac,image/tiff,758,273.4,96
37,Bay Leaf Ground,jcb,Toyota,text/plain,510,795.65,23
74,Cookie Dough - Oatmeal Rasin,jcb,Jeep,application/x-mspowerpoint,432,617.71,43
33,Sea Bass - Fillets,mastercard,Mercury,audio/x-mpeg-3,942,365.71,40
60,Island Oasis - Lemonade,maestro,Volkswagen,video/quicktime,889,105.4,82
34,Tea - English Breakfast,jcb,Lamborghini,audio/mpeg3,599,126.35,91
87,Miso Paste White,visa-electron,Porsche,video/x-mpeg,641,816.63,42
47,"Jam - Blackberry, 20 Ml Jar",bankcard,Pontiac,image/jpeg,434,202.35,83
46,Island Oasis - Banana Daiquiri,jcb,Land Rover,audio/x-mpeg-3,219,686.09,87
49,Tray - 12in Rnd Blk,jcb,Porsche,video/avi,332,799.44,33
81,"Chocolate - Semi Sweet, Calets",diners-club-carte-blanche,Mercury,application/x-msexcel,871,445.36,64
40,"Marjoram - Dried, Rubbed",jcb,Audi,image/x-tiff,776,567.58,4
69,Chocolate - Unsweetened,diners-club-us-ca,Chrysler,video/msvideo,726,129.28,22
54,Crab - Imitation Flakes,jcb,Acura,image/jpeg,762,575.53,81
16,Wine - Chateau Aqueria Tavel,jcb,Audi,video/mpeg,98,868.15,57
15,"Mushroom - Chantrelle, Fresh",jcb,Dodge,video/mpeg,192,780.54,88
38,Petit Baguette,diners-club-enroute,Ford,application/excel,264,186.83,10
41,Cleaner - Pine Sol,instapayment,Ford,application/pdf,557,242.09,30
87,Bread - Pumpernickel,bankcard,Mercury,application/vnd.ms-excel,879,420.59,22
75,"Nut - Hazelnut, Whole",jcb,Cadillac,image/gif,781,140.52,52
21,Crackers - Graham,solo,Mercedes-Benz,video/avi,906,726.91,81
100,Muffin - Mix - Creme Brule 15l,maestro,Volvo,application/x-troff-msvideo,795,828.7,8
72,Vodka - Moskovskaya,jcb,Hummer,application/vnd.ms-powerpoint,250,518.15,11
62,"Seedlings - Buckwheat, Organic",jcb,Rolls-Royce,text/plain,809,174.12,11
92,Pepper - Green Thai,bankcard,Oldsmobile,application/msword,442,400.62,16
82,Dried Cherries,jcb,Geo,video/avi,416,336.8,83
18,"Veal - Chops, Split, Frenched",diners-club-carte-blanche,Mercedes-Benz,image/gif,489,365.71,81
